,Word,Senses,Glosa,PoS,SynsetPoS
71,alè,1,l'alè agre d'aquell noi la va ofendre,n,cat-30-14841770-n
72,alegria,5,les flors van donar un aire d'alegria a l'habitació apagada,n,cat-30-04630689-n
73,alemany,1,les universitats alemanyes,a,cat-30-02957469-a
74,alerta,1,la desincronitazació del electroencefalograma era un signe d'alerta,n,cat-30-14036043-n
75,alliberament,3,hi va haver un alliberament sobtat d'oxígen,n,cat-30-13549672-n
76,alt,6,edificis alts,a,cat-30-01205473-a
77,alternativa,1,tens dues alternatives,n,cat-30-05790944-n
78,alumne,1,l'alumne va faltar a tres classes,n,cat-30-10665698-n
79,ambient,5,en aquesta feina es troba en el seu ambient,n,cat-30-13934465-n
80,àmbit,3,l'àmbit d'un reactor supersònic,n,cat-30-05125377-n
81,àmbit,4,és més enllà de l'àmbit d'aquest treball,n,cat-30-05127782-n
82,àmbit,5,estava indefens en un àmbit de la seva vida,n,cat-30-05853100-n
83,americà,1,l'hemisferi americà,a,cat-30-02927303-a
84,americà,2,l'anglès americà,a,cat-30-02927512-a
85,amic,1,és el meu millor amic de la universitat,n,cat-30-10112591-n
86,amiga,4,la Maria i la seva amiga han organitzat la festa,n,cat-30-10130877-n
87,amistat,2,tinc problemes per recordar el nom de totes les meves amistats,n,cat-30-09763784-n
88,amor,1,l'amor per la seva obra,n,cat-30-07543288-n
89,amor,3,el teatre va ser el seu primer amor,n,cat-30-05813229-n
90,amor,5,va ser el seu primer amor,n,cat-30-07488340-n
91,ancià,1,un mariner ancià,a,cat-30-01644847-a
92,ànim,2,li va alegrar l'ànim,n,cat-30-13985818-n
93,ànim,4,li van canviar els ànims,n,cat-30-04624826-n
94,ànsia,3,la seva ànsia de fama el va destruir,n,cat-30-14039179-n
95,anunci,7,hi ha un pòster que anuncia les atraccions que vindran,n,cat-30-06793426-n
96,any,1,és vídua des de fa un any,n,cat-30-15203791-n
97,any,2,em vaig casar l'any 2002,n,cat-30-15204297-n
98,aparell,6,els primers aparells anaven amb bateries d'acumuladors,n,cat-30-04176528-n
99,aparença,3,intentà donar a les seves accions una aparença d'autenticitat,n,cat-30-04677952-n
100,aparença,4,"sota l'aparença d'amistat, ell els va trair",n,cat-30-04678908-n
101,aparença,5,en aquella família guarden molt les aparences,n,cat-30-00755277-n
102,aparició,2,no estàvem preparats per la aparició que vam veure,n,cat-30-09547111-n
103,aparició,3,una aparició fantasmal a la mitjanit,n,cat-30-05897553-n
104,aparició,4,el júnior va fer una breu aparició al final de la primera part,n,cat-30-00050195-n
105,aparició,6,s'esperava la seva aparició d'un moment a l'altre,n,cat-30-05939432-n
106,aplicació,1,era partidari de l'aplicació de les estadístiques al problema,n,cat-30-00949134-n
107,aplicador,2,va utilitzar el seu ganivet com aplicador,n,cat-30-04287986-n
108,apuntar,5,la Joana li apuntava la lliçó,v,cat-30-00877848-v
109,apuntar,6,apuntar la pistola,v,cat-30-01152214-v
110,apuntar,7,aquesta novel·la apunta els problemes racials a Anglaterra,v,cat-30-01014186-v
111,apuntar-se,1,apunta't a classes de ioga,v,cat-30-01097309-v
112,àrea,3,l'àmplia àrea de cuina proporcionava molt d'espai al servei,n,cat-30-02735688-n
113,àrea,4,les àrees d'interès inclouen,n,cat-30-05815517-n
114,àrea,6,l'àrea d'un rectangle,n,cat-30-05128519-n
115,argument,1,era un argument convincent que la seva hipòtesi era veritat,n,cat-30-06648724-n
116,argument,4,l'editor va afegir l'argument al poema,n,cat-30-06467680-n
117,arma,1,tenia llicència per dur armes,n,cat-30-04565375-n
118,arribada,2,esperaven la seva arribada,n,cat-30-00048374-n
119,art,3,era comprador d'art,n,cat-30-00933420-n
120,art,4,havia arribat a dominar l'art d'un gran artesà,n,cat-30-05638987-n
121,article,4,article de roba,n,cat-30-00022903-n
122,aspirant,1,l'aspirant al lloc de feina estava molt nerviós,n,cat-30-09607280-n
123,assistència,1,el grup de rescat van anar a prestar-li assistència,n,cat-30-01207609-n
124,assistència,3,no ens va prestar la seva assistència,n,cat-30-05149832-n
125,associació,2,tota l'associació omplia l'auditori,n,cat-30-07965085-n
126,assumpte,3,no és assumpte teu,n,cat-30-05671325-n
127,assumpte,4,ocupa't dels teus assumptes,n,cat-30-05833022-n
128,atac,5,l'oposició va llançar un atac contra el govern,n,cat-30-06711159-n
129,atac,9,va patir un atac d'epilèpsia,n,cat-30-14081375-n
130,atenció,2,no es necessita atenció mèdica,n,cat-30-00654885-n
131,atenció,3,va aconseguir no cridar l'atenció de la policia,n,cat-30-05703429-n
132,atenció,4,va intentar guanyar el seu cor amb moltes atencions,n,cat-30-01228645-n
133,atenció,5,ell era el centre d'atenció,n,cat-30-05853636-n
134,atur,1,l'atur és un problema social greu,n,cat-30-13968308-n
135,aturada,2,el jugador de la tercera base va fer unes aturades notables,n,cat-30-01076046-n
136,audiència,1,l'audiència va aplaudir,n,cat-30-08221897-n
137,audiència,2,el programa va tenir una audiència de milions de persones,n,cat-30-08222293-n
138,audiència,3,va demanar una audiència amb el rei,n,cat-30-07143624-n
139,audiència,4,el van condemnar sense donar-li audiència per explicar-se,n,cat-30-14484778-n
140,augment,1,aquest any hi ha hagut un augment en les taxes de propietat,n,cat-30-13754293-n
141,augment,5,va demanar un augment de sou,n,cat-30-05110185-n
142,augment,8,van demanar un augment del 10% de les taxes,n,cat-30-05110408-n
143,aurora,2,l'aurora de la civilització,n,cat-30-07326108-n
144,auspici,1,el torneig es va fer sota els auspicis de l'ajuntament,n,cat-30-01214863-n
145,autòcton,1,"roques, gent y contes autòctons",a,cat-30-01036383-a
146,autor,1,"Miguel de Cervantes és l'autor del ""Quixot""",n,cat-30-10794014-n
147,autor,2,qui ha estat l'autor d'aquest desastre?,n,cat-30-10126177-n
148,autoritat,2,l'autoritat eclasiàtica es va pronunciar en contra,n,cat-30-09623038-n
149,autoritat,3,mai no vas pretendre exercir una autoritat rigorosa,n,cat-30-05196582-n
150,autoritat,6,és una autoritat en dret de societats,n,cat-30-09824361-n
151,avanç,1,se sentia l'avanç de les tropes enemigues,n,cat-30-07445265-n
152,avantatge,1,la seva experiència li donava ventatge per sobre meu,n,cat-30-05155821-n
153,avantatge,4,amb una avantatge d'una hora serà difícil atrapar-lo,n,cat-30-05157406-n
154,avantpassat,1,els nostres avantpassats van fer créixer el país,n,cat-30-10102800-n
155,avenç,1,l'avenç del coneixement,n,cat-30-00249501-n
156,banc,1,va anar a cobrar un taló al banc,n,cat-30-08420278-n
157,banc,2,la Creu Roja té un banc de sang per a emergències,n,cat-30-13368318-n
158,banc,3,el banc és a la cantonada de la Gran Via amb el Passeig,n,cat-30-02787772-n
159,banc,5,un gran banc de terra,n,cat-30-09213434-n
160,banc,6,passà un banc de petits peixos brillants,n,cat-30-07995453-n
161,banda,12,servei de banda,n,cat-30-08654029-n
162,banda,13,la desfilada va començar amb la banda militar,n,cat-30-08188235-n
163,banda,14,"era un assumpte que d'una banda era trist, però per l'altra banda era una alegria",n,cat-30-05852973-n
164,banda,4,una banada tenia aterroritzat a tot el veïnat,n,cat-30-08244062-n
165,banda,5,es va depilar amb bandes de cera depilatòria,n,cat-30-04339291-n
166,banda,9,les bandes radiofòniques no arribaven a causa de la tempesta,n,cat-30-06260628-n
167,bany,6,cada matí es pren un bon bany,n,cat-30-00257770-n
168,bany,9,l'home anglès va dir que havia tingut un bon bany,n,cat-30-00442437-n
169,baralla,1,es va produir una batalla durant el partit d'hoquei,n,cat-30-01170962-n
170,barra,6,no em podia creure que tingués tanta barra,n,cat-30-04838210-n
171,barri,1,el barri va organitzar una xocolatada pels nens,n,cat-30-08537837-n
172,base,10,el 10 és la base del sistema decimal,n,cat-30-13597794-n
173,base,2,la base de l'argument era una conjectura,n,cat-30-05793554-n
174,base,3,la base de la làmpada,n,cat-30-02797692-n
175,base,4,estava construït sobre la base d'una roca sòlida,n,cat-30-03387016-n
176,base,5,es va aixecar per tornar a la base,n,cat-30-02797881-n
177,base,6,l'atac va destruir les nostres bases més avançades,n,cat-30-02798290-n
178,base,8,la base d'un triangle,n,cat-30-13897837-n
179,base,9,un tub ha de recolzar-se a la seva base,n,cat-30-02798574-n
180,batalla,1,Grant obtingué una victòria decisiva en la batalla de Chickamauga,n,cat-30-00953559-n
181,batalló,1,un batalló de formigues,n,cat-30-13775093-n
182,bé,1,va morir pel bé del seu poble,n,cat-30-05143077-n
183,bé,2,valora el bé per sobre del mal,n,cat-30-05142180-n
184,bé,3,pel seu propi bé va estudiar tota la nit,n,cat-30-05159725-n
185,bellesa,4,era la bellesa del ball,n,cat-30-09849012-n
186,ben_definits,1,Trets ben definits,a,cat-30-00779819-a
187,benefici,1,en benefici de la seguretat,n,cat-30-05143077-n
188,benefici,2,en benefici de tots,n,cat-30-05142641-n
189,benestar,4,una vida de benestar i facilitats,n,cat-30-14491889-n
190,boca,3,es va treure el pintallavis de la boca,n,cat-30-05301908-n
191,boca,5,van encendre un foc a la boca de la cova,n,cat-30-09362469-n
192,boig,4,està boig per esternar els esquís,a,cat-30-00919984-a
193,bossa,5,es va menjar una bossa grossa de crispetes,n,cat-30-13764639-n
194,braç,2,un braç de mar,n,cat-30-02737833-n
195,brillant,1,una habitació brillant i assolellada,a,cat-30-00278551-a
196,bronquial,1,Neumonia bronquial,a,cat-30-02948482-a
197,butlletí,2,la televisió espanyola va enviar un butlletí sobre l'atemptat terrorista,n,cat-30-06682290-n
198,butxaca,2,van estirar de les butxaques dels contribuents,n,cat-30-13356774-n
199,cadàver,1,van trobar el cadàver al llac,n,cat-30-05217859-n
200,caiguda,11,va ser un miracle que sobrevisqués a una caiguda des d'aquella altura,n,cat-30-07362386-n
201,caiguda,1,una caiguda en la venta d'automòbils,n,cat-30-13556509-n
202,caiguda,5,la caiguda de la casa dels Hasburg,n,cat-30-07427728-n
203,caiguda,6,una caiguda de 57 punts a l'índex Dow Jones,n,cat-30-05111835-n
204,caiguda,9,es va col·locar bé la caiguda de l'abric,n,cat-30-04931837-n
205,caixa,1,buscava entre tot de caixes,n,cat-30-02883344-n
206,caixa,2,la caixa del rellotge era de noguera,n,cat-30-04190747-n
207,calma,2,La calma de la nit,n,cat-30-04982478-n
208,camí,2,vénen cap a aquí,n,cat-30-00312691-n
209,camí,3,vam anar per camins separats,n,cat-30-00415676-n
210,camí,4,no sabia el camí per tornar a casa,n,cat-30-08679972-n
211,camí,5,buscava el camí cap a fora,n,cat-30-04564698-n
212,camp,14,el camp tenia només nou forats,n,cat-30-03119790-n
213,camp,2,van sorgir problemes en el terreny econòmic,n,cat-30-14514039-n
214,camp,3,aquest és el seu camp d'especialitat,n,cat-30-05815517-n
215,camp,6,els antropòlegs fan molt treball de camp,n,cat-30-08569777-n
216,campanya,1,l'estat va proposar iniciar una campanya contra el tabaquisme,n,cat-30-00798245-n
217,campanya,3,va haver-hi una tempesta forta a la campanya,n,cat-30-09393605-n
218,campanya,4,els alts càrrecs de l'exercit van planejar la campanya contra Irak,n,cat-30-00968155-n
219,campió,1,el campió va saludar a l'organitzador de la carrera,n,cat-30-09906704-n
220,canal,7,el vaixell es va encallar al canal,n,cat-30-09241247-n
221,candidat,1,ja sé a quin candidat votaré,n,cat-30-09889691-n
222,candidat,2,s'han presentat tres candidats per la beca,n,cat-30-09890749-n
223,candidatura,1,la candidatura de l'aspirant a president del govern va ser molt costosa,n,cat-30-00799537-n
224,candidatura,2,els companys de candidatura van felicitar al guanyador,n,cat-30-06495948-n
225,cant,2,el cant del vent,n,cat-30-07394588-n
226,cantant,1,el cantant va realitzar un pèssim concert,n,cat-30-10599806-n
227,canvi,10,va a França perquè necessita un canvi,n,cat-30-04752034-n
228,canvi,11,tenia una butxaca plena de canvi,n,cat-30-13388111-n
229,canvi,12,es dedica al canvi de divises,n,cat-30-01093085-n
230,canvi,16,li van donar canvi d'un bitllet de deu i el va fer servir per pagar el taxi,n,cat-30-13387479-n
231,canvi,2,l'objectiu del canvi era augmentar les ventes,n,cat-30-07296428-n
232,canvi,3,va atribuir el canvi d'estat a la boda,n,cat-30-13859043-n
233,canvi,4,el seu canvi respecte l'avortament li ha costat perdre les eleccions,n,cat-30-00191142-n
234,canvi,5,el seu canvi respecte l'avortament li ha costat perdre les eleccions,n,cat-30-00196084-n
235,canvi,8,vaig pagar amb un bitllet de vint i em vaig quedar el canvi,n,cat-30-13387689-n
236,cap,10,el cap de llista,n,cat-30-08664184-n
237,cap,12,ara és el seu propi cap,n,cat-30-10104064-n
238,cap,16,el cap de l'agulla,n,cat-30-03501288-n
239,cap,1,li va donar un cop al cap,n,cat-30-05538625-n
240,cap,3,va fer un nus al cap del fil,n,cat-30-08566028-n
241,cap,4,200 caps de bestiar,n,cat-30-01318381-n
242,cap,6,si vols marxar abans has d'avisar al cap,n,cat-30-10104209-n
243,cap,8,el cap ha contractat tres homes més per la nova feina,n,cat-30-09867956-n
244,capa,3,la taula estava coberta d'una capa de pols,n,cat-30-03338648-n
245,capa,4,hi havia una capa e neu,n,cat-30-09223725-n
246,capa,5,una segona capa de pintura,n,cat-30-03058107-n
247,capaç,3,cada cosa estava al lloc apropiat,a,cat-30-00051045-a
248,capacitat,2,la capacitat del metall per fondre's,n,cat-30-14530836-n
249,capacitat,3,treballava al límit de la seva capacitat,n,cat-30-05202497-n
250,capçalera,2,la capçalera de la pàgina,n,cat-30-08664184-n
251,capítol,5,un capítol de desastres,n,cat-30-07307172-n
252,cara,2,la cara de la ciutat està canviant,n,cat-30-04679419-n
253,cara,4,va examinar totes les cares del cristall,n,cat-30-08510666-n
254,cara,5,va girar la caixa per examinar la cara inferior,n,cat-30-04213626-n
255,cara,6,una cara de la caixa portava un cartell que deia 'cap a dalt',n,cat-30-08566707-n
256,cara,8,quan va tornar a la feina hi havia moltes cares noves,n,cat-30-09618957-n
257,caràcter,1,"l'educació té com a objectiu formar el caràcter"" - Herbert Spencer",n,cat-30-04620216-n
258,caràcter,4,és un home de caràcter,n,cat-30-14438693-n
259,característica,1,el mapa mostrava les carreteres i altres característiques,n,cat-30-05849789-n
260,caraterística,1,les característiques que m'agraden d'ella són...,n,cat-30-04617289-n
261,càrrec,2,tenia el càrrec de tresorer,n,cat-30-00586262-n
262,càrrec,3,abans de començar el judici van llegir tots els càrrecs que s'imputaven a l'acusat,n,cat-30-06561942-n
263,càrrega,11,la càrrega ens va portar dues hores,n,cat-30-00713952-n
264,càrrega,2,la batalla va començar amb una càrrega de cavalleria,n,cat-30-00974762-n
265,càrrega,5,la càrrega de la responsabilitat,n,cat-30-05832745-n
266,càrrega,6,el sistema va fallar a causa d'una càrrega excessiva,n,cat-30-13772468-n
267,carrer,1,vivia al carrer Mallorca,n,cat-30-04334599-n
268,carrer,2,el motorista va quedar ferit al mig del carrer,n,cat-30-04335209-n
269,carrer,3,un nen del carrer contestava al policia,n,cat-30-14516256-n
270,carrera,1,va tenir una llarga carrera com a advocat,n,cat-30-00282613-n
271,carrera,3,es va fer una carrera a les mitges,n,cat-30-07443010-n
272,carrera,4,els Yankees van aconseguir tres carreres,n,cat-30-00189565-n
273,carrera,5,la carrera d'aquest any era més llarga que mai,n,cat-30-07458453-n
274,carretera,1,els nens van creuar la carretera sense por,n,cat-30-04096066-n
275,carrosseria,1,la carrosseria estava oxidada,n,cat-30-02861886-n
276,cas,2,"en aquest cas, la primera possibilitat queda exclosa",n,cat-30-13943400-n
277,cas,3,en Perry Mason va resoldre el cas de l'hereva desapareguda,n,cat-30-06784966-n
278,cas,4,la és un pronom en cas acusatiu,n,cat-30-06310945-n
279,casa,1,van comprar una casa amb piscina per a l'estiu,n,cat-30-03544360-n
280,casa,3,el tercer B és casa l'Anna,n,cat-30-03259505-n
281,casa,7,es va comprar un cotxe de la casa Seat,n,cat-30-08060446-n
282,casa,8,la casa dels Borbons segueix regnant a Espanya,n,cat-30-07971449-n
283,causa,1,Els veïns han començat una causa contra la discoteca,n,cat-30-01181902-n
284,cel·luloide,1,obres de teatre en el cel·luloide,n,cat-30-06262567-n
285,cent,1,en van arribar centes,n,cat-30-13750415-n
286,centenar,1,va arribar un centenar de persones,n,cat-30-13750415-n
287,centre,1,van córrer cap al centre de la baralla,n,cat-30-08523483-n
288,centre,2,el centre de la seva argumentació no convencia,n,cat-30-05921123-n
289,centre,3,va convertir casa seva en el centre literari més important,n,cat-30-02993546-n
290,centre,4,va dibuixar un quadrat al centre de la circumferència,n,cat-30-08521816-n
291,centre,6,el centre de l'equip va fallar,n,cat-30-09904321-n
292,centre,8,per Nadal el centre comercial no tanca,n,cat-30-03748162-n
293,cerimònia,2,la cerimònia d'inauguració,n,cat-30-01027379-n
294,certesa,3,la victòria és una certesa,n,cat-30-04753455-n
295,cicle,2,un cicle de represàlies i respostes,n,cat-30-07342495-n
296,cicle,3,els cicles de cançons de Schubert,n,cat-30-08377332-n
297,cicle,4,un any constitueix un cicle de les estacions,n,cat-30-07341038-n
298,científic,1,revistes científiques,a,cat-30-02793273-a
299,cine,1,aquesta història seria bona per al cine,n,cat-30-06262567-n
300,circumstància,2,una altra circumstància a tindre en compte és el temps que es trigaria,n,cat-30-05822746-n
301,circumstàncies,2,una víctima de les circumstàncies,n,cat-30-14473222-n
302,citació,1,l'assaig dels estudiants no conté algunes cites molt importants,n,cat-30-06763681-n
303,ciutat,2,els casos mèdics més greus els enviaven cap a la ciutat,n,cat-30-08540903-n
304,ciutat,3,la ciutat de Barcelona és una atracció turística,n,cat-30-08524735-n
305,clar,10,un cas clar d'estafa,a,cat-30-00429909-a
306,clar,15,un dia clar,a,cat-30-00460735-a
307,clar,1,ens va donar una idea clara de la naturalesa humana,a,cat-30-00428404-a
308,clar,2,està clar que no és un reaccionari,a,cat-30-01618376-a
309,clar,3,un so clar,a,cat-30-00779374-a
310,clar,4,blau clar,a,cat-30-00408660-a
311,clar,6,una barba escalrissada,a,cat-30-00542359-a
312,clar,9,un riure clar como una cascada,a,cat-30-01906464-a
313,classe,10,té molta classe,n,cat-30-04815177-n
314,classe,1,l'escultura és una classe d'art,n,cat-30-05839024-n
315,classe,2,el flirteig está present a les classes,n,cat-30-00884466-n
316,classe,3,hi ha dues classes de detergents,n,cat-30-07997703-n
317,classe,4,les classes de primera hora del matí sempre estan mig dormides,n,cat-30-08238463-n
318,classe,8,no m'agrada aquesta classe de gent,n,cat-30-05845419-n
319,clau,2,la clau del desenvolupament econòmic és la integració,n,cat-30-05794057-n
320,club,1,els membres del club d'estudiants organitzen una festa,n,cat-30-08227214-n
321,club,2,va a dinar al club tots els diumenges,n,cat-30-03054311-n
322,coll,2,el coll del gerro,n,cat-30-04428763-n
323,col·laboració,1,treballaven en col·laboració o de forma independent,n,cat-30-01205156-n
324,columna,1,la columna de soldats avançava amb les baionetes preparades,n,cat-30-08430568-n
325,columna,5,vaig veure una columna de fum,n,cat-30-13900422-n
326,combat,1,hi havia combats pels carrers,n,cat-30-01170962-n
327,combat,3,van retransmetre el combat per televisió,n,cat-30-00446493-n
328,combinació,5,va oblidar la combinació de la caixa forta,n,cat-30-08373544-n
329,combinació,7,eren la combinació pefecta,n,cat-30-08272961-n
330,començament,1,el començament va ser abans del que s'esperava,n,cat-30-15265518-n
331,començament,3,va ser un bon començament,n,cat-30-07325190-n
332,comentar,1,Va comentar que la seva presentació havia durat massa,v,cat-30-01020005-v
333,comentari,1,de tant en tant fa un comentari a favor seu,n,cat-30-06765044-n
334,comentari,2,va esciure un llarg comentari de la proposta,n,cat-30-06762711-n
335,comentari,4,ningú va fer cap comentari,n,cat-30-05710573-n
336,comerç,1,comerç internacional amb Mèxic,n,cat-30-01110274-n
337,comiat,2,no li agradaven els comiats llargs,n,cat-30-00053097-n
338,companyia,1,La companyia de la llum no va donar explicacions,n,cat-30-08058098-n
339,companyia,2,la companyia Dagoll Dagom va començar la seva gira,n,cat-30-08187033-n
340,companyia,3,el comandant va fer parar a tota la companyia,n,cat-30-08214272-n
341,companyia,4,el malalt va demanar la seva companyia,n,cat-30-08184861-n
342,compàs,1,el director va establir el compàs,n,cat-30-07086518-n
343,component,3,la melodia y l'harmonia són dos dels components de la composició musical,n,cat-30-05868954-n
344,component,4,un component o constituent essencial d'un sistema,n,cat-30-03081021-n
345,comportament,3,En els experiments es pot estudiar el comportament de les partícules petites,n,cat-30-14008342-n
346,comportar-se,1,t'hauries de comportar com un adult,v,cat-30-00010435-v
347,composició,3,es discutia l'autoria de la composició,n,cat-30-00929718-n
348,composició,4,una composició harmoniosa és essencial en una obra d'art,n,cat-30-05076472-n
349,composició,9,va enviar la composició de la facultat,n,cat-30-03081660-n
350,compra,2,hem estat moltes hores amb la compra de l'equipament per al viatge,n,cat-30-00081572-n
351,compte,2,"segons el meu compte, ja fa més de vint anys d'això",n,cat-30-00634586-n
352,compte,4,"quan vam acabar de sopar, va demanar el compte i el va pagar",n,cat-30-06517942-n
353,compte,5,apunta'm la barra de pa al meu compte,n,cat-30-14491034-n
354,comú,2,Cultivava els vegetals comuns,a,cat-30-00489108-a
355,comunicat,4,la policia va fer el comunicat de l'accident,n,cat-30-07220466-n
356,concentració,5,per recordar tots els detalls has de mantenir la concentració,n,cat-30-05650579-n
357,concepció,3,desde la seva concepció el pla estava destinat al fracàs,n,cat-30-07328942-n
358,concepció,5,Luter tenia una nova concepció de la Bíblia,n,cat-30-05836468-n
359,concert,1,volien anar al concert però no hi havia entrades,n,cat-30-06892775-n
360,concert,2,el compositor va escriure un concert de piano,n,cat-30-07043275-n
361,concert,4,el nobles havien fet concerts secrets amb l'enemic,n,cat-30-07180183-n
362,conclusió,1,al seu treball li queda molt per a la conclusió,n,cat-30-00211110-n
363,conclusió,4,va saltar a la conclusió,n,cat-30-05781541-n
364,condició,1,condició de malestar,n,cat-30-13920835-n
365,condició,2,la condició humana,n,cat-30-13920429-n
366,condició,4,el contracte estableix les condicions de l'arrendament,n,cat-30-06770875-n
367,condició,7,Es va casar per sobre la seva condició,n,cat-30-13947645-n
368,coneixement,3,la seva intel·ligència i coneixements generals eren impressionants,n,cat-30-05675905-n
369,confiança,2,tinc confiança en el nostre equip,n,cat-30-07526505-n
370,confiança,9,em va agafar confiança,n,cat-30-13929852-n
371,configuració,1,la configuració del terreny,n,cat-30-05064037-n
372,confort,1,és un home a qui li agrada el confort,n,cat-30-14445379-n
373,confusió,1,l'exèrcit es va retirar en una confusió,n,cat-30-13975752-n
374,confusió,6,va canviar el seu nom per evitar les confusions amb aquell famós delinqüent,n,cat-30-00072473-n
