Unnamed: 0,Synset,PoS,Word,Tag Count
101,100160688,n,conquista,1
102,100065575,n,aprobado,1
103,114478975,n,fracaso,4
104,100067254,n,novillo,1
105,100788632,n,tiro,10
106,114551565,n,pérdida,17
107,100068333,n,caída,2
108,100068901,n,incumplimiento,14
109,100070965,n,yerro,1
110,100070965,n,error,49
111,100070965,n,fallo,6
112,100070965,n,equivocación,4
113,100072473,n,confusión,3
114,100074524,n,lapsus,2
115,100074624,n,descuido,3
116,100074790,n,patinazo,2
117,100075618,n,lío,1
118,100076563,n,tropezón,1
119,100076563,n,traspié,2
120,100076884,n,caída,2
121,100041899,n,adquisición,1
122,113296752,n,adquisición,6
123,100079212,n,recompra,1
124,107150499,n,compraventa,1
125,107150499,n,comercio,7
126,100081572,n,compra,51
127,100082754,n,sucesión,1
128,100082870,n,toma,9
129,100083585,n,legado,3
130,100083585,n,herencia,9
131,100083729,n,adquisición,2
132,113289845,n,apropiación,1
133,100084371,n,adopción,3
134,114088412,n,embargo,1
135,100086140,n,expropiación,3
136,100086809,n,ocupación,6
137,100086809,n,ocupación,2
138,100087423,n,subvención,10
139,100087663,n,concesión,1
140,100088481,n,decomiso,1
141,100088481,n,confiscación,2
142,100088725,n,detención,25
143,100088725,n,arresto,6
144,100089027,n,conquista,5
145,100089351,n,devolución,1
146,100090253,n,recepción,1
147,100091013,n,dejación,1
148,100091234,n,rechazo,1
149,100092366,n,subasta,18
150,100093006,n,capitalización,1
151,100045907,n,recuperación,8
152,100093483,n,salvamento,4
153,100093483,n,salvación,2
154,100093483,n,escotilla_de_salvamento,4
155,100093874,n,salvavidas,1
156,100094001,n,redención,1
157,100095329,n,indemnización,8
158,100095502,n,liberación,7
159,100095971,n,recuperación,1
160,113247554,n,rescate,17
161,100044150,n,implementación,1
162,107160296,n,invocación,1
163,1Synset Not Found,n,cumplimiento,5
164,1Synset Not Found,n,ejecución,1
165,100098385,n,mecanismo,18
166,100098625,n,servicio,6
167,100098625,n,estación_de_servicio,6
168,100099588,n,improvisación,4
169,100099799,n,malabarismo,3
170,100099951,n,magia,3
171,100100543,n,interpretación,1
172,100102457,n,automatización,1
173,100102457,n,mecanización,1
174,100103140,n,lanzamiento,6
175,100104249,n,impulso,1
176,114485990,n,lanzamiento,5
177,100105820,n,pase,2
178,114622350,n,bola,1
179,100113113,n,presión,13
180,100113726,n,empellón,1
181,100113726,n,empujón,3
182,100114298,n,codazo,1
183,113586831,n,arrastre,1
184,100115292,n,remolque,1
185,100115500,n,tirón,2
186,100116687,n,expulsión,1
187,1Synset Not Found,n,vómito,1
188,100119568,n,salto,3
189,100120515,n,salto,4
190,100121366,n,transmisión,2
191,100122661,n,tiro,12
192,100122661,n,disparo,7
193,100122661,n,balazo,1
194,100123783,n,disparo,2
195,100124617,n,tiroteo,1
196,107409592,n,contacto,1
197,100125629,n,golpeo,1
198,100064504,n,colisión,4
199,100132982,n,triple,1
200,100133338,n,golpe,3
201,100134574,n,zurriagazo,1
202,100134780,n,puñetazo,4
203,100136329,n,patada,3
204,100137279,n,saque,2
205,100137709,n,córner,3
206,100138221,n,beso,8
207,101078279,n,interceptación,1
208,100140393,n,enlace,1
209,100140652,n,manipulación,3
210,100140652,n,manejo,4
211,100142361,n,chequeo,1
212,100143251,n,seguimiento,3
213,100143251,n,revisión,5
214,100143251,n,revisión,17
215,100144632,n,caricia,2
216,100146277,n,acercamiento,1
217,100146856,n,unión,6
218,114294271,n,articulación,1
219,100147595,n,fijación,2
220,100395797,n,amarre,1
221,100149262,n,desprendimiento,1
222,100043195,n,hallazgo,5
223,100043195,n,descubrimiento,9
224,100151087,n,detección,2
225,100151409,n,adelanto,1
226,100152018,n,identificación,2
227,100152018,n,designación,4
228,100152018,n,identificación,4
229,100152727,n,diagnóstico,5
230,100153809,n,solución,17
231,100153961,n,verificación,3
232,100154233,n,certificación,2
233,100154433,n,documentación,1
234,100155487,n,localización,1
235,100156390,n,inducción,1
236,100156625,n,provocación,4
237,111414608,n,influencia,1
238,100158185,n,manipulación,6
239,1Synset Not Found,n,invitación,1
240,100161243,n,elección,9
241,100161603,n,casting,1
242,100162632,n,decisión,235
243,100162632,n,determinación,6
244,100163406,n,viraje,1
245,100163779,n,nombramiento,9
246,100164152,n,nominación,2
247,100165298,n,ordenación,1
248,105090255,n,a_un_paso,27
249,105090255,n,paso,31
250,100166172,n,jugada,6
251,100166355,n,movimiento,1
252,100167446,n,jaque,2
253,1Synset Not Found,n,maniobra,9
254,113778671,n,estacionamiento,3
255,100171249,n,truco,1
256,100171618,n,zancadilla,2
257,100172490,n,estratagema,1
258,100172598,n,artimaña,1
259,100172710,n,forma,108
260,100172710,n,modo,33
261,100172710,n,manera,54
262,100173283,n,evasión,3
263,100173761,n,instrumento,21
264,100174412,n,medida,185
265,100174663,n,contramedida,1
266,100178832,n,recurso,7
267,100178832,n,improvisación,1
268,100180413,n,aceptación,3
269,100180413,n,adopción,8
270,100181373,n,reelección,24
271,100181640,n,referéndum,12
272,100181640,n,referendo,15
273,100181781,n,elección,208
274,100182213,n,voto,133
275,107407272,n,desempate,2
276,100183505,n,votación,26
277,114491034,n,tanto,23
278,108517449,n,diana,1
279,100189565,n,carrera,4
280,100190431,n,canasta,5
281,113859043,n,cambio,58
282,100192613,n,ahorro,27
283,114575180,n,diversificación,6
284,100196084,n,cambio,15
285,100196485,n,sustitución,6
286,100197772,n,reemplazo,1
287,107249817,n,promoción,3
288,100198793,n,degradación,2
289,100199707,n,modificación,8
290,100199707,n,modificación,11
291,100201058,n,paso,23
292,100201671,n,transferencia,6
293,100202284,n,oposición,24
294,100202284,n,resistencia,8
295,113445479,n,reacción,8
296,113937554,n,rechazo,21
297,100203753,n,sorteo,4
298,100204439,n,renuncia,4
299,100204439,n,abandono,4
300,111519121,n,fuga,3
301,100205079,n,renuncia,7
302,100205543,n,renuncia,2
303,100205891,n,pérdida,4
304,100206130,n,boicot,2
305,100206927,n,expulsión,12
306,114427633,n,ostracismo,1
307,100207761,n,deportación,1
308,100207761,n,exilio,9
309,114413993,n,excomunión,1
310,100208797,n,derrocamiento,1
311,100209132,n,suspensión,1
312,105198928,n,veto,5
313,100209943,n,finalización,2
314,100211110,n,culminación,3
315,113954118,n,retirada,6
316,107254836,n,renuncia,2
317,100213343,n,entrega,1
318,100213482,n,extradición,10
319,100095502,n,destitución,3
320,100095502,n,cese,1
321,100095502,n,despido,13
322,100095502,n,destitución,3
323,100217014,n,destrucción,13
324,114476290,n,desastre,6
325,100218208,n,aniquilación,1
326,100219012,n,homicidio,7
327,100219012,n,de_muerte,3
328,100219012,n,sentencia_de_muerte,13
329,100219012,n,senencia_de_muerte,13
330,100219012,n,muerte,13
331,100219856,n,eutanasia,2
332,100220023,n,asesinato,35
333,110401204,n,parricidio,1
334,114759275,n,caída,2
335,100222485,n,suicidio,7
336,100223362,n,harakiri,1
337,100223854,n,matanza,2
338,100224260,n,masacre,1
339,100224599,n,linchamiento,1
340,114512674,n,envenenamiento,1
341,100225786,n,estrangulamiento,1
342,100227595,n,sacrificio,6
343,100228283,n,abolición,1
344,100228535,n,liquidación,2
345,100229260,n,clausura,3
346,100229260,n,cierre,12
347,100229934,n,extinción,4
348,114261508,n,aborto,4
349,106185748,n,anulación,1
350,100231887,n,derogación,1
351,100231887,n,anulación,1
352,107207142,n,cancelación,3
353,100232863,n,rescisión,5
354,100233614,n,desactivación,2
355,107411160,n,inversión,1
356,100235435,n,apertura,27
357,100235435,n,iniciación,2
358,1Synset Not Found,n,fundación,2
359,100240938,n,instalación,4
360,100237869,n,Creación,1
361,100237078,n,establecimiento,12
362,100242583,n,sindicación,1
363,100238022,n,lanzamiento,10
364,100238022,n,debut,16
365,100238022,n,introducción,3
366,100239230,n,iniciativa,40
367,100086809,n,ocupación,7
368,100236821,n,activación,1
369,100242003,n,reanudación,4
370,100243918,n,cocción,1
371,107809368,n,aliño,1
372,114422179,n,mejora,24
373,100249501,n,adelanto,3
374,100249501,n,progreso,27
375,100249780,n,avance,10
376,113489037,n,desarrollo,26
377,100251013,n,limpieza,18
378,113548105,n,depuración,4
379,113548105,n,purificación,1
380,100253395,n,catarsis,1
381,100253919,n,esterilización,1
382,1Synset Not Found,n,rectificación,5
383,100259643,n,compensación,6
384,114462666,n,perfeccionamiento,3
385,106706676,n,decoración,1
386,100262743,n,ornamentación,1
387,113271498,n,enriquecimiento,2
388,100264775,n,humanización,2
389,100264913,n,modernización,5
390,100265119,n,renovación,11
391,100266149,n,mejora,1
392,100266806,n,reparación,11
393,100266806,n,arreglo,2
394,100267522,n,mantenimiento,10
395,1Synset Not Found,n,puesta_a_punto,2
396,114424517,n,renovación,1
397,107174138,n,reconstrucción,11
398,100271263,n,degradación,1
399,114561102,n,perversión,1
400,100273449,n,humillación,1
401,100273601,n,degradación,1
402,100273877,n,blanqueo,3
403,100275424,n,tinta,2
404,100276987,n,contaminación,1
405,100394485,n,descontaminación,1
406,100277569,n,inmersión,1
407,113505843,n,riego,3
408,100692349,n,castración,1
409,100279835,n,desplazamiento,8
410,100279835,n,movimiento,13
411,100279835,n,traslado,6
412,100280853,n,aproximación,2
413,106354204,n,acceso,1
414,1Synset Not Found,n,avance,13
415,100282485,n,empujón,1
416,100282613,n,trayectoria,14
417,100282613,n,carrera,39
418,100282840,n,marcha,5
419,100283568,n,andadura,2
420,100284798,n,paseo,1
421,114429608,n,paso,3
422,100285889,n,paso,9
423,100287561,n,trote,1
424,100288000,n,doma,2
425,100284101,n,paseo,2
426,100288970,n,caminata,2
427,100290276,n,estocada,1
428,100290276,n,arremetida,1
429,100290276,n,embestida,2
430,100290579,n,marcha,15
431,100292599,n,vuelta,2
432,100293916,n,carrera,8
433,100294452,n,sprint,1
434,100294452,n,esprint,4
435,100295172,n,vuelta,16
436,100296478,n,peregrinación,1
437,100296946,n,travesía,3
438,100298161,n,turismo,23
439,100298497,n,conducción,3
440,100300441,n,aviación,1
441,108220620,n,vuelo,14
442,100302394,n,vuelo,27
443,100305005,n,aterrizaje,1
444,107375635,n,despegue,2
445,100306426,n,viaje,43
446,100306900,n,etapa,14
447,100308279,n,odisea,5
448,114378311,n,viaje,18
449,100308871,n,trayecto,8
450,108409130,n,expedición,5
451,100310201,n,excursión,1
452,100310666,n,tour,1
453,106629858,n,viaje,10
454,110386312,n,trayecto,1
455,110386312,n,de_camino,2
456,100312784,n,travesía,3
457,100312784,n,crucero,1
458,109283623,n,travesía,1
459,100313806,n,navegación,1
460,100201671,n,transporte,19
461,100316460,n,transbordo,2
462,100317207,n,distribución,7
463,100318035,n,entrega,16
464,100319939,n,persecución,9
465,100320852,n,inserción,3
466,114849215,n,inyección,7
467,100324056,n,transfusión,3
468,100324233,n,perfusión,1
469,100325110,n,subida,1
470,100327824,n,vaivén,2
471,115281176,n,regreso,26
472,100328230,n,reingreso,1
473,100328502,n,deslizamiento,2
474,100328502,n,desliz,4
475,100329031,n,resbalón,2
476,100329227,n,flujo,4
477,100329619,n,derrame,3
478,100329819,n,inundación,1
479,100331102,n,trasplante,1
480,100331950,n,movimiento,8
481,114388910,n,disturbio,5
482,106877078,n,gesto,9
483,100339463,n,reordenación,1
484,100339776,n,transposición,1
485,100340192,n,adelantamiento,1
486,113785557,n,rotación,2
487,100344040,n,cierre,16
488,100344421,n,pose,1
489,100345454,n,vuelta,1
490,100345641,n,vuelta,3
491,107447022,n,vuelta,2
492,100349369,n,golpe,1
493,100350030,n,giro,3
494,100350380,n,desvío,1
495,100351638,n,merma,1
496,100351638,n,disminución,2
497,100351638,n,reducción,18
498,100352331,n,recorte,4
499,113439570,n,disminución,1
500,100353903,n,recorte,13
501,100353992,n,devaluación,3
502,100355420,n,distensión,5
503,100355691,n,relajación,1
504,100355691,n,desahogo,1
505,114017451,n,reducción,11
506,100356367,n,consumo,23
507,107672687,n,acortamiento,1
508,100360757,n,sustracción,1
509,113311368,n,retención,4
510,100362103,n,descuento,5
511,100363260,n,aumento,25
512,100363260,n,crecimiento,21
513,100363788,n,adición,2
514,100364260,n,subida,25
515,113328578,n,devaluación,3
516,113328578,n,depreciación,6
517,107172756,n,expansión,13
518,107172756,n,ampliación,42
519,100365995,n,dilatación,1
520,100366846,n,escalada,5
521,113822995,n,ampliación,3
522,103306869,n,extensión,6
523,107445896,n,propagación,1
524,100368592,n,diseminación,3
525,100372013,n,acumulación,5
526,113442168,n,concentración,4
527,100372607,n,almacenamiento,1
528,113936304,n,inclusión,10
529,106476741,n,incorporación,17
530,100373544,n,ascenso,5
531,107427224,n,refuerzo,3
532,107427224,n,fortalecimiento,4
533,100374224,n,intensificación,2
534,100376400,n,quebrantamiento,1
535,100376994,n,rotura,4
536,100377364,n,explosión,21
537,100378069,n,quema,2
538,100378985,n,combinación,9
539,100378985,n,composición,2
540,100380083,n,mezcla,3
541,114848785,n,fusión,1
542,100380696,n,mezcla,1
543,100381680,n,unión,2
544,100382474,n,reunificación,5
545,100383390,n,apertura,11
546,107295391,n,separación,12
547,100383952,n,paréntesis,1
548,100384933,n,secesión,2
549,100385266,n,ruptura,3
550,100385266,n,escisión,1
551,100385501,n,desunión,1
552,113536299,n,división,10
553,100386676,n,cisma,3
554,100386915,n,corte,6
555,100387657,n,corte,2
556,100391599,n,eliminación,21
557,106744154,n,derivación,1
558,100397347,n,censura,5
559,1Synset Not Found,n,división,3
560,100398704,n,transformación,7
561,100399393,n,modificación,9
562,113452947,n,conversión,1
563,100400449,n,repoblación,1
564,100400449,n,reforestación,1
565,113925188,n,saturación,3
566,114364432,n,endurecimiento,1
567,100403092,n,destrozo,6
568,100403092,n,daño,19
569,114552802,n,deterioro,3
570,100405206,n,inflexión,3
571,100407090,n,proyección,1
572,114534457,n,actividad,96
573,100409483,n,permiso_de_operación,31
574,100409483,n,operación,39
575,100409483,n,operación,5
576,100410247,n,costumbre,5
577,100410247,n,práctica,16
578,100411048,n,práctica,10
579,100411048,n,en_la_práctica,7
580,100411384,n,cooperación,4
581,100412839,n,canibalismo,1
582,100413239,n,costumbre,1
583,1Synset Not Found,n,hábito,2
584,1Synset Not Found,n,costumbre,2
585,100415000,n,costumbre,1
586,100415098,n,visita,1
587,100415676,n,en_el_buen_camino,28
588,100415676,n,por_el_buen_camino,19
589,100415676,n,camino,33
590,100415676,n,a_mitad_del_camino,2
591,100417397,n,abrazo,1
592,100417859,n,apretón,1
593,100417859,n,achuchón,1
594,100418025,n,maltrato,2
595,114377375,n,persecución,2
596,100421437,n,tortura,5
597,100424767,n,atrocidad,1
598,100424934,n,brutalidad,3
599,100424934,n,barbarie,2
600,100424934,n,ensañamiento,1
601,100424934,n,salvajada,1
602,100425090,n,ultraje,1
603,100425090,n,atrocidad,1
604,100419644,n,hostigamiento,1
605,100418394,n,enfado,3
606,100425905,n,vacile,1
607,100418903,n,explotación,5
608,100426928,n,diversión,5
609,100431552,n,pasatiempo,2
610,100523513,n,deporte,19
611,110341660,n,Deporte,1
612,110341660,n,deporte,37
613,100433802,n,gimnasia,5
614,100434075,n,acrobacia,2
615,100445226,n,esquí,6
616,100442115,n,natación,4
617,100442437,n,baño,4
618,100442847,n,chapuzón,1
619,100444651,n,submarinismo,1
620,100445802,n,boxeo,9
621,100446493,n,combate,17
622,100447540,n,lucha,12
623,100449168,n,patinaje,1
624,100449695,n,regata,2
625,100450700,n,hípica,2
626,100451563,n,ciclismo,13
627,100451635,n,motociclismo,3
628,100452034,n,toreo,1
629,100452293,n,caza,3
630,100455173,n,pesca,2
631,100454121,n,pesca,13
632,115256567,n,terreno_de_juego,81
633,115256567,n,en_juego,76
634,115256567,n,estar_en_juego,84
635,115256567,n,sala_de_juego,16
636,115256567,n,juego,119
637,115256567,n,juego_de_palabras,33
638,115256567,n,regla_de_juego,15
639,115256567,n,juego,34
640,100457723,n,ataque,34
641,100458456,n,bateo,2
642,100458890,n,videojuego,7
643,100463543,n,hockey,5
644,100464894,n,golf,8
645,100467995,n,hockey,3
646,100470966,n,rugby,3
647,1Synset Not Found,n,béisbol,8
648,100478262,n,fútbol,105
649,100478647,n,regate,1
650,103482877,n,balonmano,8
651,100479887,n,squash,2
652,100480211,n,voleibol,2
653,100480993,n,baloncesto,32
654,100482298,n,tenis,12
655,100482892,n,break,1
656,100484910,n,escondite,1
657,100499477,n,dominó,3
658,100500449,n,carambola,2
659,100503237,n,ajedrez,3
660,100504844,n,tómbola,1
661,100506658,n,apuesta,5
662,100506658,n,partida,11
663,100508091,n,lotería,4
664,100428000,n,edición,22
665,100428000,n,festejo,2
666,100428000,n,festividad,2
667,100510050,n,jarana,1
668,100511555,n,carnaval,9
669,100512522,n,coquetería,1
670,100427580,n,broma,5
671,100427580,n,burla,1
672,100429048,n,entretenimiento,2
673,100516086,n,celebración,3
674,100517728,n,festival,14
675,100518669,n,gala,5
676,100519251,n,guateque,1
677,100519333,n,feria,2
678,108189211,n,circo,6
679,110362917,n,muestra,4
680,100520672,n,cabaret,1
681,108428623,n,alarde,4
682,100521209,n,exhibición,11
683,100521562,n,presentación,14
684,108407839,n,exhibición,1
685,100428270,n,baile,3
686,100428270,n,danza,2
687,100527872,n,claqué,1
688,100528397,n,coreografía,1
689,100533036,n,flamenco,2
690,100535956,n,foxtrot,1
691,107055295,n,conga,1
692,100537534,n,vals,2
693,107063921,n,jazz,4
694,107064715,n,rock,8
695,107064715,n,rock_and_roll,2
696,100545501,n,canto,3
697,100546389,n,canción,1
698,114322248,n,aria,1
699,100377813,n,percusión,2
700,100548326,n,representación,3
701,100548802,n,interpretación,2
702,100549284,n,imitación,1
703,100549610,n,parodia,2
704,100550771,n,actuación,11
705,100553173,n,perturbación,1
706,100553362,n,alteración,5
707,100553655,n,sorpresa,3
708,100553823,n,follón,2
709,100553823,n,tumulto,1
710,105751173,n,escándalo,1
711,100554433,n,arranque,1
712,100555138,n,movimiento,2
713,100555648,n,ímpetu,1
714,100556313,n,maniobra,9
715,100557588,n,jugada,19
716,111481627,n,asistencia,7
717,100560529,n,pase,5
718,1Synset Not Found,n,bloqueo,1
719,100563330,n,revuelo,1
720,100565302,n,tirada,2
721,100566690,n,revés,1
722,100568430,n,saque_de_falta,3
723,112748248,n,trabajo,54
724,113525549,n,funcionamiento,7
725,113525549,n,funcionalidad,1
726,100577068,n,procedimiento,3
727,100577525,n,servicio,123
728,100582071,n,papeleo,1
729,1Synset Not Found,n,ocupación,1
730,100583246,n,profesión,10
731,100583246,n,vocación,11
732,100583461,n,especialidad,7
733,114580334,n,urbanización,2
734,1Synset Not Found,n,trabajo,68
735,1Synset Not Found,n,puesto_de_trabajo,58
736,100584769,n,tarea,6
737,100586262,n,puesto,61
738,100586262,n,cargo,72
739,100588780,n,embajada,2
740,100589769,n,capitanía,1
741,100590383,n,jefatura,1
742,100590626,n,comandancia,1
743,100591236,n,asesoría,1
744,100591858,n,dirección,1
745,100595333,n,alcaldía,6
746,100596807,n,presidencia,45
747,100598056,n,cátedra,1
748,100599472,n,secretaría,1
749,100604424,n,ponencia,3
750,100604811,n,profesorado,1
751,100606370,n,oficio,9
752,100607775,n,carpintería,1
753,100608354,n,interiorismo,1
754,103992703,n,cerámica,1
755,108113322,n,profesión,4
756,106464419,n,literatura,3
757,100611143,n,derecho,12
758,105753564,n,educación,2
759,100612160,n,medicina,1
760,100617059,n,codificación,2
761,100618436,n,confección,1
762,100620752,n,labor,36
763,100620752,n,faena,1
764,100621627,n,dedicación,2
765,100621627,n,esfuerzo,66
766,100622584,n,caza,2
767,113997253,n,esclavitud,1
768,100624738,n,entrenamiento,36
769,100629318,n,flexión,1
770,100631378,n,práctica,4
771,100633864,n,investigación,30
772,110522956,n,investigación,5
773,100636461,n,prueba,4
774,100636728,n,investigación,8
775,105798043,n,experimento,5
776,100635850,n,examen,12
777,100635850,n,inspección,4
778,106376014,n,análisis,1
779,105942579,n,analogía,1
780,113855627,n,contraste,2
781,100652069,n,visita,2
782,100634586,n,hacer_cuentas,10
783,100634586,n,conteo,1
784,100634586,n,cuenta,22
785,100634586,n,cómputo,5
786,100653388,n,censo,11
787,100653388,n,padrón,1
788,100653518,n,cuenta_atrás,2
789,106545843,n,escrutinio,9
790,100653958,n,recuento,17
791,100654683,n,espionaje,2
792,100652466,n,vigilancia,7
793,100654885,n,atención,10
794,114461679,n,terapia,7
795,100658627,n,hospitalización,2
796,100660173,n,masaje,1
797,1Synset Not Found,n,operación,6
798,100693679,n,trasplante,3
799,103740161,n,medicación,1
800,100695300,n,sedación,1
801,100697365,n,inyección,1
802,100698004,n,sangría,1
803,106428537,n,corrección,1
804,100709521,n,desinfección,3
805,113826845,n,carga,4
806,100714173,n,descarga,1
807,113759558,n,recogida,2
808,113759558,n,recolección,4
809,100719494,n,deber,1
810,100719705,n,cometido,4
811,100719705,n,quehacer,3
812,100720565,n,función,22
813,100720565,n,papel,60
814,106674188,n,rol,1
815,113925752,n,posición,9
816,110803691,n,defensa,15
817,100728849,n,trabajo,4
818,106672752,n,lección,1
819,100729919,n,ejercicio,8
820,100730984,n,misión,1
821,100731222,n,misión,34
822,100731222,n,ENCARGO,1
823,111183605,n,recado,1
824,100733483,n,violación,2
825,100735936,n,fechoría,2
826,100735936,n,falta,21
827,100736375,n,malicia,1
828,100737188,n,irregularidad,14
829,100738785,n,indiscreción,1
830,100739270,n,dejadez,2
831,100739270,n,desidia,2
832,100740712,n,evasión,2
833,100742314,n,negligencia,1
834,100742645,n,derroche,2
835,100744131,n,daño,1
836,100744443,n,agravio,2
837,100744616,n,injusticia,2
838,100746232,n,violación,4
839,100746587,n,blasfemia,2
840,113907272,n,vicio,1
841,100747215,n,pornografía,1
842,100748155,n,prostitución,5
843,100748307,n,disolución,9
844,100749767,n,traición,2
845,100215838,n,subversión,1
846,100155298,n,falsificación,4
847,100751944,n,mentira,1
848,100752431,n,engaño,1
849,100752954,n,treta,1
850,100752954,n,ardid,1
851,100752954,n,estratagema,1
852,100752954,n,picaresca,1
853,100754424,n,fraude,16
854,100754424,n,timo,1
855,100754424,n,trampa,3
856,100754767,n,ilusión,1
857,100754956,n,simulación,1
858,100757080,n,pecado,10
859,100758335,n,envidia,1
860,100758795,n,pereza,1
861,100758972,n,ira,2
862,105906734,n,terrorismo,30
863,100766234,n,delito,57
864,100766234,n,crimen,19
865,100768701,n,crimen,3
866,100770270,n,infracción,9
867,100770270,n,ofensa,3
868,100772381,n,perjurio,2
869,100773235,n,comisión,1
870,1Synset Not Found,n,violación,2
871,100773814,n,asalto,10
872,100773814,n,asalto,11
873,100773814,n,atentado,65
874,100773814,n,ataque,18
875,100774009,n,atraco,1
876,100775006,n,brutalidad,1
877,100775286,n,captura,5
878,100775286,n,apresamiento,1
879,100775702,n,secuestro,16
880,100775702,n,rapto,1
881,100776262,n,cohecho,1
882,100776262,n,soborno,2
883,100776732,n,malversación,5
884,100780148,n,engaño,3
885,100780889,n,hurto,1
886,100780889,n,robo,17
887,113304927,n,atraco,1
888,100781912,n,atraco,2
889,100783063,n,estafa,1
890,100783527,n,piratería,2
891,113307901,n,extorsión,3
892,100784598,n,chantaje,4
893,100785959,n,prueba,4
894,100786195,n,tentativa,1
895,100786195,n,conato,1
896,100786195,n,intento,42
897,100787465,n,contribución,4
898,100787465,n,aportación,12
899,100787307,n,irrupción,1
900,100788766,n,esfuerzo,11
901,100788973,n,lucha,38
902,100788973,n,batalla,4
903,100789237,n,duelo,25
904,100791078,n,ensayo,4
905,100794367,n,prueba,36
906,100795720,n,tarea,13
907,100795720,n,en_proyecto,53
908,100795720,n,proyecto,172
909,100796315,n,aventura,11
910,100797361,n,maratón,1
911,100798245,n,campaña,149
912,100800940,n,reforma,89
913,100799537,n,candidatura,7
914,100799537,n,candidatura,52
915,100802238,n,riesgo,4
916,100802238,n,riesgo,9
917,100803617,n,control,34
918,100803617,n,control,5
919,100805034,n,regulación,12
920,113800539,n,coordinación,7
921,100808182,n,limitación,4
922,100808182,n,restricción,4
923,100808767,n,congelación,1
924,100809465,n,posesión,13
925,100810598,n,retención,11
926,103744276,n,almacenamiento,3
927,100811921,n,estiba,1
928,100812526,n,agarrón,2
929,100815320,n,dirección,2
930,100815801,n,navegación,1
931,1Synset Not Found,n,protección,35
932,100818466,n,responsabilidad,10
933,100818678,n,custodia,3
934,100093483,n,preservación,1
935,100819274,n,conservación,8
936,100821083,n,censura,1
937,100822970,n,precaución,3
938,108064130,n,defensa,2
939,100825192,n,autodefensa,1
940,100825773,n,judo,3
941,100827638,n,encierro,2
942,100827782,n,acompañamiento,1
943,100828990,n,inmunización,1
944,100829378,n,tutela,2
945,114473917,n,providencia,1
946,100830811,n,respiración,1
947,100834135,n,jadeo,1
948,100835267,n,exhalación,1
949,105909384,n,resuello,1
950,100836788,n,inhalación,2
951,100836788,n,aspiración,1
952,100837293,n,bostezo,1
953,100838098,n,consumo,5
954,100838367,n,alimentación,1
955,100838816,n,bocado,1
