Modal	Situations (only Static) involving the possibility or likelihood of other situations as opposed to actual situations; e.g. abilities, power, force, strength
MoneyRepresentation	Physical Representations of value, or money; e.g. share, coin
Natural	Anything produced by nature and physical forces as opposed to artifact
Object	Any conceptually-countable concrete entity with an outer limit; e.g. book, car, person, brick.
Occupation	; e.g. doctor, researcher, journalist, manager
Origin	Considering the way concrete entities are created or come into existence.
Part	Any concrete entity which is contained in an object, substance or a group; head, juice, nose, limb, blood, finger, wheel, brick, door
Phenomenal	Situations that occur in nature controlled or uncontrolled or considered as a force; e.g. weather, chance
Physical	Situations involving perceptual and measurable properties of first order entities; either Static e.g. health, a colour, a shape, a smell; or Dynamic changes and perceptions of the physical properties of first order entities; e.g. redden, thicken, widen, enlarge, crush, form, shape, fold, wrap, thicken, to see, hear, notice, smell. Opposed to Mental.
Place	Concrete entities functioning as the location for something else; e.g. place, spot, centre, North, South
Plant	; e.g. plant, rice
Possession	Situations involving possession; Static e.g. have, possess, possession, contain, consist of, own; Dynamic changes in possession, often to be combined which changes in location as well; e.g. sell, buy, give, donate, steal, take, receive, send.
Property	Static Situation which applies to a single concrete entity or abstract Situation; e.g. colour, speed, age, length, size, shape, weight.
Purpose	Situations which are intended to have some effect.
Quantity	Situations involving quantity and measure ; Static e.g. weight, heaviness, lightness; changes of the quantity of first order entities; Dynamic e.g. to lessen, increase, decrease
Relation	Static Situation which applies to a pair of concrete entities or abstract Situations, and which cannot exist by itself without either one of the involved entities; e.g. relation, kinship, distance, space.
Representation	Any concrete entity used for conveying a message; e.g. traffic sign, word, money.
SituationComponent	Considering the conceptual components that play a role in Situations. Situations can be cross-classified by any number of Situation Components
SituationType	Considering the predicate-inherent Aktionsart properties of Situations: dynamicity and boundedness in time. Subclasses are disjoint, every 2ndOrderEntity has only 1 SituationType.
Social	Situations related to society and social interaction of people: Static e.g. employment, poor, rich, Dynamic e.g. work, management, recreation, religion, science.
Software	; e.g. computer programs and databases
Solid	Substance which can fall, does not feel wet and you cannot inhale it; e.g. stone, dust, plastic, ice, metal
Static	Situations (properties, relations and states) in which there is no transition from one eventuality or situation to another: non-dynamic; e.g. state, property, be. Opposed to Dynamic.
Stimulating	Situations in which something elicits or arouses a perception or provides the motivation for some event, e.g. sounds (song, bang, beep, rattle, snore), views, smelling, appetizing, motivation.
Substance	all stuff without boundary or fixed shape, considered from a conceptual point of view not from a linguistic point of view; e.g. mass, material, water, sand, air.
Time	Situations in which duration or time plays a significant role; Static yesterday, day, pass, long, period, Dynamic e.g. begin, end, last, continue
Top	all
UnboundedEvent	Dynamic Situations occurring during a period of time and composed of a sequence of (micro-)changes of state, which are not perceived as relevant for characterizing the Situation as a whole; e.g. grow, change, move around, live, breath, activity, hobby, sport, education, work, performance, fight, love, caring, management.
Usage	Situations in which something (an instrument, substance, time, effort, force, money) is or can be used; e.g. to use, to spent, to represent, to mean, to be about, to operate, to fly, drive, run, eat , drink, consume.
Vehicle	; e.g. car, ship, boat
