,Word,Senses,Glosa,PoS,SynsetPoS
99,bizitza,6,"bizitza oso batean erabili gabeko jantziak atera, eta zabaltzen ziren haizetan",n,eus-30-15140405-n
100,bizi,7,Espainian martxan dagoen zentral zaharrena da eta eraiki zenean 40 urteko bizia aurreikusi zitzaion,n,eus-30-15140405-n
101,opor,1,udako oporrak,n,eus-30-15137890-n
102,jai,6,"astelehenean Mendavian kontzentratu behar zuen Goyo Hernandok bere botileroarekin, baina jai hartu zuen",n,eus-30-15137047-n
103,lanaldi,1,"hala ere, enpresa bakoitza lanaldiaren berrantolaketa negoziatzea ez duela oztopatuko dio patronalak",n,eus-30-15136723-n
104,aste,1,aste honetan telebistan emango duten programazioa dakar astekari horrek,n,eus-30-15136147-n
105,aste,3,beraiek 40 orduko lan-astea dute,n,eus-30-15135996-n
106,ordu,2,ba al dakizu zer ordu den?,n,eus-30-15129927-n
107,historia,6,lotsagarria da historiaren artxiboak nola gordetzen diren,n,eus-30-15123996-n
108,egun,1,egun hartatik ez da harekin fidatzen,n,eus-30-15123115-n
109,denbora,4,"Francisco Lopez-ekin ezkondua, atzerrira joan ziren gerra denboran eta Clermont-Ferranden alargun geratu zen Maria",n,eus-30-15122231-n
110,sasoi,8,alde honetatik nahasiagoak izan diren sasoietan bizi izan dugu,n,eus-30-15122231-n
111,gero,1,"oraindik mundu oker batean bizi bagara, etorkizunean gizakiaren egungo problemak zuzenduko diren esperantzarekin ageri da Ulrich nobelaren hasieran",n,eus-30-15121625-n
112,historia,5,arrailadurek zedarritu dute zentralaren historia luzea,n,eus-30-15121406-n
113,denboraldi,1,denboraldi luze bat pasako da fenomeno horiek kuriositatez behatuko dituztela,n,eus-30-15113229-n
114,ekintza,12,AI: 'gerra krimena dira Israelen ekintzak',n,eus-30-01182312-n
115,begi,4,zuhaitz tantai baten hostaia tartean zegoen zulo biribil edo begi batek nire arreta piztu zuen,n,eus-30-15102712-n
116,zelai,10,"esaten zuenez, lehen 'Kaballeriak' zelaietatik eta soroetatik bidaltzeko erabiltzen zen",n,eus-30-14997274-n
117,sistema,7,"izan ere, disoluzioak sistema homogeneo mota bat dira",n,eus-30-14981183-n
118,petrolio,1,"eredu horren arabera, petrolioa ez da aberastasun iturri bakarra izango",n,eus-30-14980579-n
119,paper,6,paperezko loreak erosi ditut,n,eus-30-14974264-n
120,oxido,1,"kolore hau lortzeko, hainbat oxido nahastu behar ziren",n,eus-30-14971519-n
121,oktano,1,petrolio konpainiak pezeta bat igo zuen atzo gauerdian berunik gabeko 95 oktanoko gasolinaren prezioa,n,eus-30-14966530-n
122,marmol,1,"'Leucade-ren saltoa' izeneko bilusik fenemino bat, Seravezzia-ko marmolean dago zizelatua",n,eus-30-14947807-n
123,laba,1,sumendiek ere mendiak era ditzakete kraterretik ateratzen den laba solidotu egiten baita eta magma-materiala metatu,n,eus-30-14930989-n
124,intsektizida,1,"izurritea oso zabaldua badago, intsektizida sistemiko batez tratatu",n,eus-30-14919948-n
125,hidrokarburo,1,Hegoaldeko aldundiek ez daukate BEZ edo hidrokarburoen gaineko zergak arautzeko ahalmenik,n,eus-30-14911057-n
126,gas,3,"gasaren banaketa egiterakoan, Naturgas enpresak tarifa ezberdinak eskaintzen ditu",n,eus-30-14877585-n
127,erregai,1,Bilboko portuko gordetegi horiek 1.000 metro kubiko erregai gordetzeko ahalmena dute,n,eus-30-14875077-n
128,ur,5,"oinarrizko indarren aipamenak (lurra, ura, sua eta aire) Indiako kulturan eta erlijioan sarri agertzen dira",n,eus-30-14847357-n
129,ur,4,"itxaron, ura edaten ari naiz",n,eus-30-07935504-n
130,lur,10,"oinarrizko indarren aipamenak (lurra, ura, sua eta aire) Indiako kulturan eta erlijioan sarri agertzen dira",n,eus-30-14844414-n
131,lur,9,elizaren kanpoaldeko lurraren gaina zulatu zuten,n,eus-30-14842992-n
132,su,10,"oinarrizko indarren aipamenak (lurra, ura, sua eta aire) Indiako kulturan eta erlijioan sarri agertzen dira",n,eus-30-14842847-n
133,aire,7,"Enpedoklesen ustez naturak lau elementu zituen: lurra, airea, sua eta ura",n,eus-30-14842703-n
134,aire,6,"bestalde, ez dugu ahaztu behar landare asko inguruko airetik, ontziko lurretik baino gehiago hornitzen direla urez (Bromeliazeoak, etab.)",n,eus-30-14841267-n
135,altzairu,1,azpian zeuden altzairu eta bulegoetako materiala txikitu zuten,n,eus-30-14802450-n
136,eragile,6,"manifestariek harriak eta botilak jaurti zizkieten, eta poliziek gas negar eragilea",n,eus-30-14778436-n
137,harri,2,"grabitatearen eraginez mugitzen diren ur-korronteak dira erliebeko harrien, eta, beraz, erliebearen beraren, higatzaile nagusiak",n,eus-30-14696793-n
138,propano,1,"gasaren banaketari ekin zionean, beren etxeetan propanoa jarririk zuten",n,eus-30-14691686-n
139,gasolina,1,pezeta bat igo du berunik gabeko 95 oktanoko gasolinaren prezioa,n,eus-30-14686913-n
140,zilar,2,"garai batean, gorpuekin batera hilobietan ipinitako urrea eta zilarra lapurtzen zituzten ebasleek",n,eus-30-14654954-n
141,oxigeno,1,"arrailadurak oso maiz gertatu dira zentral honetan, gehienetan hozketa uretan oxigenoa egoteagatik gertatu dira",n,eus-30-14648100-n
142,hidrogeno,1,"Arma Nuklearren Eskuliburuaren arabera, Txinak 150 bonba nuklear zituen 1993an, gehienak hidrogenozkoak edo termonuklearrak",n,eus-30-14640434-n
143,urre,2,1849an aurkitu zen urrea Kalifornian eta bertara ziren askoren artean ditugu euskaldunak,n,eus-30-14638799-n
144,molekula,1,"oinarrizko partikulak, atomoak eta molekulak elkarren artean batuta mantentzen badira, beraien arteko indar ezberdinei esker izaten da",n,eus-30-14682133-n
145,atomo,1,"dena dela, atomoak ez dira zatiezinak",n,eus-30-14619225-n
146,disoluzio,1,disoluzioak sistema homogeneo mota bat dira,n,eus-30-14589223-n
147,material,3,"argiaren eraginez zenbait materialek elektroiak aska ditzake, horrela tentsio elektrikoa sortuz",n,eus-30-14580897-n
148,azken,7,Foxek bukaera eman dio PRI alderdiaren azken 71 urtetako agintaldiari,n,eus-30-14562960-n
149,amai,14,kirolean agintari ziren latinoen amaiera da,n,eus-30-14562960-n
150,tentsio,9,"tentsioa eta nerbioak uxatzeko, Oronozera joanen da gaur plantilla igandera arte",n,eus-30-14544335-n
151,mehatxu,5,Ian Paisleyk ziurtatu zuen IRAren mehatxua oraindik ez dela desagertu,n,eus-30-14543231-n
152,arrisku,4,"eta, kasu horretan, kutsatuta ez dagoenak ez dauka besteak baino arrisku handiagoa",n,eus-30-14541044-n
153,arrisku,3,"eta, kasu horretan, kutsatuta ez dagoenak ez dauka besteak baino arrisku handiagoa",n,eus-30-14540765-n
154,bake,4,bakea hausteagatik atxilotu zuten,n,eus-30-14539524-n
155,segurtasun,11,Barne ministeritzak segurtasun arazo guztiak kontrolpean dituela erakutsi nahi du,n,eus-30-14538472-n
156,giro,3,"Montenegron bertan ere tentsio handiko giroa dago, eta asteazkeneko hilketak egoera okertu besterik ezin du egin",n,eus-30-14524849-n
157,klima,1,"laurazeoen familiako zuhaitza, jatorriz Ekialde Urrunekoa eta klima beroko leku askotan lantzen dena",n,eus-30-14519366-n
158,kale,6,haren semea kaletik urrun hezten saiatu zen,n,eus-30-14516256-n
159,eremu,14,"eremu publikotzat jotzen dira politikaren mundua, lan ordaindua, etab. Pribatua etxe barrenari dagokio",n,eus-30-14514039-n
160,esparru,10,atzoko atentatua esparru ezberdinetatik salatu zuten,n,eus-30-14514039-n
161,marko,7,bakea behar dugu egungo markoa gainditu eta kualitatiboki ezberdina izango den beste eszenatoki batera abiatzeko,n,eus-30-14513259-n
162,saio,6,"atzo egin zuen azken saioa, Labriten, jokatuko zuen edo ez erabakitzeko, eta erantzuna baiezkoa izan zen",n,eus-30-14485673-n
163,era,7,"Ivanovicen jokalariek gogoa erakutsi zuten partiduan, baina italiarrek partidua hautsi zuten une egokia ikusi zutenean",n,eus-30-14483917-n
164,konfiantza,10,Sydneyra iritsi zenean ez zuen konfiantza askorik bere indarretan Joane Somarribak,n,eus-30-14483744-n
165,etorkizun,4,"biak oso gazteak ziren arren, kalitate handikoak ziren eta etorkizun oparoa zuten",n,eus-30-14482968-n
166,aukera,11,datozen ikasturteetan ikusteko aukera izango duzu,n,eus-30-14481929-n
167,porrot,12,"operazioaren porrotagatik, Zisjordaniako tropa israeldarren buruak eta beste ofizial batek dimisioa aurkeztu dute",n,eus-30-14477877-n
168,min,21,Aita Santuak minez jaso du Madrilen egin den eta hiru pertsona hil eta hainbat zauritu dituen atentatu berri hori,n,eus-30-14477342-n
169,arrakasta,5,"Australian narratiba berriaren ordezkari ezagunena da egun, eta bere lan batzuek arrakasta handia lortu dute",n,eus-30-14474894-n
170,huts,7,"agiriaren hutsak ageri-agerikoak dira, batez ere eskubide sozialei dagokien arloan",n,eus-30-14462666-n
171,huts,16,huts absolutua ezinezkoa dela aldarrikatu zuen adituak,n,eus-30-14456054-n
172,presio,8,proiektua garaiz amaitzeko presioa pairatzen da langileengan,n,eus-30-14451349-n
173,hutsune,9,EBk hutsune asko erakusten ditu nazioarteko krisietan,n,eus-30-14449405-n
174,ez,2,kezkagarria da INEMekin eta eragile sozialekin duen koordinazio eza,n,eus-30-14449405-n
175,galbide,1,era teknologikoari lotutako bizimodu berriak gauza asko galbidean jarriko ditu,n,eus-30-14445226-n
176,subiranotasun,2,"Espainiako subiranotasuna, independentzia eta lurraldetasuna bermatzeko Armada behar adina elementuz hornitu nahi dutela esan zuten",n,eus-30-14443532-n
177,errespetu,6,gure amak esaten zuen errespetua irabazi egin behar dela,n,eus-30-14437552-n
178,sailkapen,4,"emaitzei begiratuz gero, hautatuak izan diren hiru talderen aurretik gaude sailkapenean",n,eus-30-14429484-n
179,zerrenda,12,Joseba Beloki (29) eta Haimar Zubeldia (39) dira zerrenda horretan lehen ehunen artean dauden euskal ordezkariak,n,eus-30-14429484-n
180,leku,17,denboraldi hasieratik desiraturiko lekuan daudela baieztatu zuen entrenatzaileak,n,eus-30-14429382-n
181,postu,3,bigarren postutik saiatuko da garaipena lortzen,n,eus-30-14429382-n
182,toki,16,"nik argi ditut gauzak, oso argi eta ez dut iritzia aldatzen Athletic saikapenean dagoen tokiaren arabera",n,eus-30-14429382-n
183,kohesio,1,"aurkakotasuna eta inkomunikazioa nagusitzen ari dira bizitza politikoan, eta gure gizartearen kohesioa modu arriskutsuan tenkatuz doa",n,eus-30-14420464-n
184,lotura,24,ETAko kide izateaz inputatuta deklaratu zuten lau kideen kontra neurririk ez hartzeak erakusten du AEK-ETA lotura inolako sinesgarritasunik ez duen aitzakia merkea dela,n,eus-30-14419164-n
185,batasun,5,Alfonso Alonso alkateak ere alderdien arteko batasuna aldarrikatu zuen ETAri aurre egiteko,n,eus-30-14418395-n
186,arazo,11,"Euskal Herrian jendeak ezagutzen du arazoa, baina Estatu frantsesean edo espainiarrean gertatzen denean ez dute batere gustuko",n,eus-30-14410605-n
187,tentsio,12,Montenegron tentsio handia eragin dezake Milosevicen bisitak,n,eus-30-14410089-n
188,istilu,24,"batean lesioa zela tarteko, eta bestean gogoratzeak ere nazka eragiten duen dopin istiluarengatik",n,eus-30-14409489-n
189,beldur,7,"horrenbesteko beldurra ematen dizu urak, Lorea?",n,eus-30-14405931-n
190,xenofobia,1,Alemaniako Gobernuak eta alderdi politikoetako buruzagiek xenofobiaren aurkako mobilizazioari ekin diote azken egunotan,n,eus-30-14386022-n
191,arrazoi,11,"bururik gabeko probokazioa izan da haren bisita, arrazoietara itzultzeko eskatu die israeldar eta palestinarrei",n,eus-30-14379829-n
192,estres,1,"txarretan, esaten dut dena utzi eta joango nintzatekeela artzain Urbiara, hemengo presak eta estresak utzita",n,eus-30-14375890-n
193,tentsio,6,"tentsioa eta nerbioak uxatzeko, Oronozera joanen da gaur plantilla igandera arte",n,eus-30-14375890-n
194,hemorragia,1,"aspirina gehiegiz gorputza ondoezik geratzen denean, gehienetan urdaileko mina sentitzen da, oka egiteko gogoa, ahoan hemorragiak, bai betilean ere, pulsoa bizkortzen da, gorputza izertzen, aurpegia moretzen, amets alfer asko egiten",n,eus-30-14288235-n
195,min,5,"erdilari nafarrak min apur bat nabaritu zuen herenegun arratsaldean, baina ez zion garrantzirik eman",n,eus-30-14322699-n
196,epai,7,"Aierbek, ordea, 60 ontzako bi enborretako epaiak itxi egin zituen, segundo asko galdu zuen",n,eus-30-14287113-n
197,lesio,4,ilusio handiz dago belaunean izan zuen lesio larria gainditu ondoren,n,eus-30-14285662-n
198,minbizi,1,minbizia gainditu ostean lortu baititu garaipenik handiena,n,eus-30-14239918-n
199,min,11,"erdilari nafarrak min apur bat nabaritu zuen herenegun arratsaldean, baina ez zion garrantzirik eman",n,eus-30-14213199-n
200,min,8,"erdilari nafarrak min apur bat nabaritu zuen herenegun arratsaldean, baina ez zion garrantzirik eman",n,eus-30-14055408-n
201,infekzio,1,ongi desinfektatu behar ditugu zauriak infekziorik ez izateko,n,eus-30-14174549-n
202,apendizitis,1,inkomunikatuta egin diote apendizitis ebakuntza Atarrabian atxilotutako gazte bati,n,eus-30-14258512-n
203,asma,1,"asmak jo ninduen, eta han gelditu nintzen erdi itota",n,eus-30-14145911-n
204,gripe,1,hotza egiten hasi zen eta gripea harrapatu nuen,n,eus-30-14122497-n
205,afasia,1,ez da estrategia amankomunik erabiltzen afasiaren diagnostikoan,n,eus-30-14097574-n
206,gaitz,3,"HIESa sendatu ez, baina gaitz kroniko bihur daitekeela esan dute",n,eus-30-14061805-n
207,sasoi,7,"Lopez de Muniain, Mikel Artetxe eta Mikel Pradera sasoi betean daude",n,eus-30-14049711-n
208,su,17,Peiok sutan erantzun zion irakasleari,n,eus-30-14036539-n
209,lo,2,"goizaldera, ordea, lo sakon batek harrapatu bide zuen, iratzargailuak jo zuenean",n,eus-30-14024882-n
210,burujabetza,1,EHren ekimenen ardatzak lurraldetasuna eta burujabetza direla nabarmendu zuten,n,eus-30-13992935-n
211,subiranotasun,1,Euskal Herriaren subiranotasuna lortu beharra eta egungo markoaren balio eza aldarrikatzen dituelako,n,eus-30-13992935-n
212,autonomia,1,iragarri zuen bere armak erabileratik at uzteko asmoa zuela eta egun horretan bertan Ipar Irlandako autonomia berriro ezartzeko agindua eman zuen Londresek,n,eus-30-13992514-n
213,independentzia,2,Euskal Herriko independentzia eta sozialismoaren eraikuntzan beharrezkoa ikusten dugu euskaldun guztien partaidetza,n,eus-30-13994148-n
214,askatasun,4,"delitu txikiak egin dituztenek askatasuna lortuko lukete, baita legez kanpoko emigranteek ere",n,eus-30-13991823-n
215,argi,11,landarea argi aldera okertu ohi da,n,eus-30-13983304-n
216,eraso,17,"azken garaiotan, gerrillari txetxeniarren erasoak ugaldu egin dira",n,eus-30-01237167-n
217,gatazka,6,"egitasmo politiko guztiak errespetatuz eta onartuz, euskal alderdi guztien arteko elkarrizketa eta negoziazioaren bidez konpondu beharreko gatazka politiko bat dela onartzea",n,eus-30-13980845-n
218,gerra,3,hezkuntza baita gerra honen beste fronteetako bat,n,eus-30-13980845-n
219,biolentzia,3,Jaurlaritzak ez du biolentzia egoera aprobetxatuko alderdien haustura suspertzeko,n,eus-30-13979977-n
220,indarkeria,4,indarkeriarik gabeko egoera bat eratzeko eta euskal alderdi politiko guztien foro bat osatzeko eskatu zuen,n,eus-30-13979977-n
221,bortizkeria,1,Hego Euskal Herrian dagoen bortizkeria egoera azpimarratu zuen,n,eus-30-13979977-n
222,istilu,23,han gertatu ziren istiluak benetako gerra izan zirela agertu zuten atzo Israelgo iturri militarrek,n,eus-30-13972797-n
223,ados,0,"EAJko kideak abertzaleen arteko adostasuna aldarrikatu zuen, distentsioa ahalbidetzeko",n,eus-30-13971065-n
224,su-eten,1,Estatuak ETAk su-etena apurtu ondoren sortutako eszenatokiari beldurrik ez diola esan zuen,n,eus-30-13970912-n
225,bake,3,nire desiorik handiena gerra guztiak amaitu eta denok bakean bizi ahal izatea da,n,eus-30-13970236-n
226,bake,2,pisukideak bakean bizi dira elkarrekin,n,eus-30-13969700-n
